crypto,event_variable,coefficient,std_error,p_value,event_type,fdr_corrected_pvalue,fdr_significant
btc,D_infrastructure,0.4625951234612402,0.9526930713121737,0.6278790047016822,Infrastructure,0.9803438351014404,False
btc,D_regulatory,0.48792317852191425,0.6674385791910777,0.4658384733652412,Regulatory,0.9803438351014404,False
eth,D_infrastructure,0.09042974380124513,0.7885786801321121,0.9088339682244173,Infrastructure,0.9803438351014404,False
eth,D_regulatory,0.0936143504360627,0.387439022617736,0.8093852593544959,Regulatory,0.9803438351014404,False
xrp,D_infrastructure,0.7169161621479772,1.090632456737876,0.5118211478928458,Infrastructure,0.9803438351014404,False
xrp,D_regulatory,0.8626685211550642,0.5453311427845309,0.1156682732319827,Regulatory,0.4626730929279308,False
bnb,D_infrastructure,1.1309275871865814,0.4871649000012568,0.021565118112149895,Infrastructure,0.25878141734579874,False
bnb,D_regulatory,0.7630386222018104,0.4374920269169599,0.08327201210474544,Regulatory,0.4626730929279308,False
ltc,D_infrastructure,0.009496184627264759,0.38488343570517386,0.9803438351014404,Infrastructure,0.9803438351014404,False
ltc,D_regulatory,-0.06436191231966637,0.3844280863625982,0.8672517136391766,Regulatory,0.9803438351014404,False
ada,D_infrastructure,0.09097839810006225,0.4586414435368524,0.8429884636778686,Infrastructure,0.9803438351014404,False
ada,D_regulatory,0.3497919857692833,0.39174093137027904,0.3732597976956331,Regulatory,0.9803438351014404,False
